Turn,P1 Left,P1 Right,P2 Left,P2 Right,Set #,Option #,Option,Winner
6,0,4,0,4,3,1,D(LR),2
7,0,4,0,0,8,111,A(RR),2
1,0,2,1,1,1,1,D(LR),2
2,0,3,1,1,4,101,A(LR),2
3,0,3,1,4,2,111,A(RR),2
4,0,3,0,5,4,1,D(LR),2
5,0,3,0,0,8,111,A(RR),2
1,1,1,2,1,1,100,A(LL),2
2,1,1,0,3,1,1,D(LR),2
3,0,2,0,3,4,1,D(LR),2
4,0,2,0,3,8,10,D(RL),2
5,0,2,0,0,8,111,A(RR),2
1,1,1,1,2,1,111,A(RR),1
2,1,1,1,2,1,10,D(RL),1
3,1,1,1,3,1,101,A(LR),1
4,4,1,1,3,1,110,A(RL),1
5,4,1,2,3,6,110,A(RL),1
6,4,3,2,3,6,101,A(LR),1
7,4,3,0,3,6,100,A(LL),1
8,4,3,0,3,2,10,D(RL),1
9,1,6,0,3,4,1,D(LR),1
10,1,0,0,3,2,111,A(RR),1
11,1,0,1,3,3,100,A(LL),1
12,1,0,0,4,5,1,D(LR),1
13,1,0,1,4,3,100,A(LL),1
14,0,0,1,4,5,110,A(RL),1
1,0,2,1,1,1,1,D(LR),1
2,0,3,1,1,4,111,A(RR),1
3,0,3,4,1,2,110,A(RL),1
4,0,4,4,1,4,111,A(RR),1
5,0,4,0,1,2,110,A(RL),1
6,0,0,0,1,8,111,A(RR),1
1,1,1,2,1,1,110,A(RL),2
2,3,1,2,1,1,100,A(LL),2
3,3,1,2,2,1,111,A(RR),2
4,3,3,2,2,1,111,A(RR),2
5,3,3,0,2,6,100,A(LL),2
6,3,0,0,2,2,111,A(RR),2
7,2,1,0,2,3,1,D(LR),2
8,2,3,0,2,2,111,A(RR),2
9,0,5,0,2,4,10,D(RL),2
10,0,5,0,2,8,10,D(RL),2
11,0,5,0,0,8,111,A(RR),2
1,1,1,1,2,1,111,A(RR),1
2,1,1,0,3,1,1,D(LR),1
3,0,2,0,3,4,10,D(RL),1
4,0,2,2,1,8,10,D(RL),1
5,0,2,2,1,2,10,D(RL),1
6,0,2,0,3,4,1,D(LR),1
7,0,2,0,3,8,10,D(RL),1
8,0,0,0,3,8,111,A(RR),1
1,1,1,1,2,1,111,A(RR),2
2,3,1,1,2,1,110,A(RL),2
3,3,1,1,3,1,111,A(RR),2
4,4,1,1,3,1,100,A(LL),2
5,4,1,1,4,6,111,A(RR),2
6,4,0,1,4,6,111,A(RR),2
7,0,4,1,4,3,1,D(LR),2
8,0,4,1,4,4,10,D(RL),2
9,1,3,1,4,2,10,D(RL),2
10,2,3,1,4,6,100,A(LL),2
11,2,3,3,4,6,100,A(LL),2
12,0,3,3,4,6,100,A(LL),2
13,2,1,3,4,2,10,D(RL),2
14,2,4,3,4,6,101,A(LR),2
15,2,4,3,0,6,101,A(LR),2
16,2,4,0,3,3,1,D(LR),2
17,2,4,0,0,4,101,A(LR),2
1,1,1,1,2,1,101,A(LR),1
2,1,2,1,2,1,101,A(LR),1
3,0,3,1,2,1,1,D(LR),1
4,0,0,1,2,4,111,A(RR),1
1,1,1,1,2,1,101,A(LR),2
2,1,3,1,2,1,111,A(RR),2
3,1,3,1,3,1,101,A(LR),2
4,1,3,0,4,1,1,D(LR),2
5,1,3,0,0,4,101,A(LR),2
1,1,1,1,2,1,111,A(RR),2
2,1,2,1,2,1,101,A(LR),2
3,1,2,3,2,1,110,A(RL),2
4,1,4,3,2,6,111,A(RR),2
5,1,4,3,3,6,101,A(LR),2
6,4,4,3,3,6,100,A(LL),2
7,4,4,0,3,6,110,A(RL),2
8,0,4,0,3,2,110,A(RL),2
9,0,4,0,0,8,111,A(RR),2
1,1,1,2,1,1,100,A(LL),2
2,1,3,2,1,1,101,A(LR),2
3,0,4,2,1,1,1,D(LR),2
4,0,4,0,3,4,10,D(RL),2
5,0,4,0,0,8,111,A(RR),2
1,1,1,1,2,1,111,A(RR),1
2,1,2,1,2,1,101,A(LR),1
3,1,2,1,3,1,101,A(LR),1
4,4,2,1,3,1,110,A(RL),1
5,4,2,0,3,6,100,A(LL),1
6,0,2,0,3,2,110,A(RL),1
7,0,2,0,3,8,10,D(RL),1
8,0,0,0,3,8,111,A(RR),1
1,1,1,2,1,1,100,A(LL),1
2,1,3,2,1,1,101,A(LR),1
3,0,4,2,1,1,1,D(LR),1
4,0,0,2,1,4,101,A(LR),1
1,0,2,1,1,1,10,D(RL),1
2,0,3,1,1,4,111,A(RR),1
3,0,3,4,1,2,110,A(RL),1
4,0,0,4,1,4,101,A(LR),1
1,1,1,2,1,1,110,A(RL),2
2,3,1,2,1,1,100,A(LL),2
3,1,3,2,1,1,1,D(LR),2
4,1,3,1,2,1,1,D(LR),2
5,1,3,1,2,1,10,D(RL),2
6,1,3,1,2,1,10,D(RL),2
7,1,3,2,2,1,100,A(LL),2
8,3,3,2,2,1,110,A(RL),2
9,3,3,2,0,6,111,A(RR),2
10,3,3,0,2,3,1,D(LR),2
11,3,3,0,0,4,111,A(RR),2
1,0,2,1,1,1,10,D(RL),1
2,0,2,0,2,4,10,D(RL),1
3,0,2,0,4,8,111,A(RR),1
4,0,2,1,3,8,10,D(RL),1
5,0,2,3,3,2,110,A(RL),1
6,0,0,3,3,4,111,A(RR),1
1,0,2,1,1,1,10,D(RL),2
2,0,3,1,1,4,111,A(RR),2
3,0,3,4,1,2,110,A(RL),2
4,0,3,2,3,4,1,D(LR),2
5,1,2,2,3,2,10,D(RL),2
6,1,0,2,3,6,111,A(RR),2
7,1,0,2,4,3,101,A(LR),2
8,3,0,2,4,5,100,A(LL),2
9,2,1,2,4,3,1,D(LR),2
10,0,1,2,4,6,110,A(RL),2
11,0,1,2,4,2,10,D(RL),2
12,0,3,2,4,4,101,A(LR),2
13,0,3,2,0,2,111,A(RR),2
14,0,3,0,2,3,1,D(LR),2
15,0,3,0,0,8,111,A(RR),2
1,1,1,1,2,1,111,A(RR),1
2,1,1,0,3,1,1,D(LR),1
3,1,1,0,4,4,111,A(RR),1
4,1,1,0,4,2,10,D(RL),1
5,0,2,0,4,4,1,D(LR),1
6,0,0,0,4,8,111,A(RR),1
1,0,2,1,1,1,1,D(LR),2
2,0,3,1,1,4,101,A(LR),2
3,0,3,4,1,2,110,A(RL),2
4,0,3,1,4,4,1,D(LR),2
5,2,1,1,4,2,10,D(RL),2
6,3,1,1,4,6,100,A(LL),2
7,3,1,1,0,1,101,A(LR),2
8,4,1,1,0,3,100,A(LL),2
9,4,1,2,0,5,110,A(RL),2
10,4,1,0,2,3,1,D(LR),2
11,4,1,0,0,4,101,A(LR),2
1,1,1,2,1,1,100,A(LL),2
2,1,1,1,2,1,1,D(LR),2
3,0,2,1,2,1,1,D(LR),2
4,0,3,1,2,4,101,A(LR),2
5,0,3,1,2,2,10,D(RL),2
6,0,3,0,3,4,1,D(LR),2
7,2,1,0,3,8,10,D(RL),2
8,2,4,0,3,2,111,A(RR),2
9,2,4,0,0,4,101,A(LR),2
1,0,2,1,1,1,10,D(RL),1
2,0,2,0,2,4,10,D(RL),1
3,0,2,0,4,8,111,A(RR),1
4,0,2,3,1,8,10,D(RL),1
5,1,1,3,1,2,10,D(RL),1
6,1,1,0,4,1,10,D(RL),1
7,0,2,0,4,4,1,D(LR),1
8,0,0,0,4,8,111,A(RR),1
1,1,1,2,1,1,100,A(LL),1
2,1,3,2,1,1,101,A(LR),1
3,1,3,0,1,1,110,A(RL),1
4,1,3,0,1,2,10,D(RL),1
5,0,4,0,1,4,1,D(LR),1
6,0,0,0,1,8,111,A(RR),1
1,0,2,1,1,1,1,D(LR),2
2,0,3,1,1,4,111,A(RR),2
3,0,3,1,4,2,111,A(RR),2
4,0,3,0,5,4,1,D(LR),2
5,0,3,0,0,8,111,A(RR),2
1,1,1,1,2,1,101,A(LR),1
2,3,1,1,2,1,110,A(RL),1
3,3,1,4,2,1,100,A(LL),1
4,3,3,4,2,6,111,A(RR),1
5,3,3,4,0,6,101,A(LR),1
6,3,3,2,2,3,1,D(LR),1
7,3,3,0,2,6,100,A(LL),1
8,3,0,0,2,2,111,A(RR),1
9,3,0,3,2,3,100,A(LL),1
10,0,0,3,2,5,110,A(RL),1
1,1,1,1,2,1,111,A(RR),1
2,1,2,1,2,1,101,A(LR),1
3,1,2,1,4,1,111,A(RR),1
4,1,0,1,4,6,111,A(RR),1
5,0,1,1,4,3,1,D(LR),1
6,0,2,1,4,4,101,A(LR),1
7,0,2,3,4,2,110,A(RL),1
8,0,0,3,4,4,101,A(LR),1
1,0,2,1,1,1,1,D(LR),1
2,0,2,0,2,4,1,D(LR),1
3,0,2,0,4,8,111,A(RR),1
4,0,0,0,4,8,111,A(RR),1
1,0,2,1,1,1,1,D(LR),1
2,0,3,1,1,4,101,A(LR),1
3,2,1,1,1,2,10,D(RL),1
4,3,1,1,1,1,110,A(RL),1
5,3,1,1,2,1,111,A(RR),1
6,3,2,1,2,1,101,A(LR),1
7,3,2,3,2,6,110,A(RL),1
8,3,0,3,2,6,101,A(LR),1
9,1,2,3,2,3,1,D(LR),1
10,3,2,3,2,6,110,A(RL),1
11,3,2,3,0,6,101,A(LR),1
12,3,2,0,3,3,1,D(LR),1
13,0,5,0,3,4,10,D(RL),1
14,0,0,0,3,8,111,A(RR),1
1,1,1,2,1,1,110,A(RL),2
2,1,1,0,3,1,1,D(LR),2
3,0,2,0,3,4,10,D(RL),2
4,0,2,0,3,8,10,D(RL),2
5,1,1,0,3,8,10,D(RL),2
6,1,4,0,3,2,111,A(RR),2
7,1,4,0,0,4,111,A(RR),2
1,0,2,1,1,1,10,D(RL),1
2,0,2,0,2,4,1,D(LR),1
3,1,1,0,2,8,10,D(RL),1
4,1,1,0,2,2,10,D(RL),1
5,0,2,0,2,4,1,D(LR),1
6,0,2,1,1,8,10,D(RL),1
7,0,2,3,1,2,110,A(RL),1
8,0,0,3,1,4,101,A(LR),1
1,1,1,1,2,1,111,A(RR),2
2,1,3,1,2,1,111,A(RR),2
3,2,2,1,2,1,10,D(RL),2
4,2,2,0,3,1,1,D(LR),2
5,2,2,0,0,4,101,A(LR),2
1,1,1,2,1,1,110,A(RL),1
2,2,1,2,1,1,110,A(RL),1
3,2,1,2,3,1,101,A(LR),1
4,0,1,2,3,6,110,A(RL),1
5,0,1,2,3,2,10,D(RL),1
6,0,4,2,3,4,111,A(RR),1
7,3,1,2,3,2,10,D(RL),1
8,0,1,2,3,6,110,A(RL),1
9,0,1,2,4,2,111,A(RR),1
10,0,0,2,4,4,111,A(RR),1
1,1,1,2,1,1,100,A(LL),2
2,1,1,1,2,1,1,D(LR),2
3,1,1,1,3,1,111,A(RR),2
4,1,1,0,4,1,1,D(LR),2
5,1,1,0,0,4,101,A(LR),2
1,1,1,2,1,1,110,A(RL),1
2,1,1,0,3,1,10,D(RL),1
3,0,2,0,3,4,10,D(RL),1
4,0,0,0,3,8,111,A(RR),1
1,0,2,1,1,1,10,D(RL),1
2,0,2,0,2,4,1,D(LR),1
3,0,2,0,4,8,111,A(RR),1
4,0,2,2,2,8,10,D(RL),1
5,0,2,2,2,2,10,D(RL),1
6,0,4,2,2,4,111,A(RR),1
7,0,4,2,0,2,111,A(RR),1
8,0,4,1,1,3,1,D(LR),1
9,0,4,1,1,2,10,D(RL),1
10,0,0,1,1,4,111,A(RR),1
1,1,1,2,1,1,110,A(RL),1
2,1,2,2,1,1,111,A(RR),1
3,1,2,2,3,1,111,A(RR),1
4,4,2,2,3,6,110,A(RL),1
5,4,2,4,3,6,110,A(RL),1
6,0,2,4,3,6,110,A(RL),1
7,0,2,4,3,2,10,D(RL),1
8,0,0,4,3,4,111,A(RR),1
1,1,1,1,2,1,111,A(RR),1
2,2,1,1,2,1,100,A(LL),1
3,0,3,1,2,1,10,D(RL),1
4,0,0,1,2,4,111,A(RR),1
1,1,1,2,1,1,100,A(LL),2
2,2,1,2,1,1,110,A(RL),2
3,0,3,2,1,1,1,D(LR),2
4,0,3,0,3,4,1,D(LR),2
5,0,3,0,0,8,111,A(RR),2
1,1,1,1,2,1,101,A(LR),1
2,1,2,1,2,1,101,A(LR),1
3,0,3,1,2,1,1,D(LR),1
4,0,0,1,2,4,111,A(RR),1
1,1,1,1,2,1,111,A(RR),1
2,1,1,0,3,1,1,D(LR),1
3,0,2,0,3,4,10,D(RL),1
4,0,0,0,3,8,111,A(RR),1
1,0,2,1,1,1,10,D(RL),2
2,0,2,0,2,4,1,D(LR),2
3,0,2,0,2,8,10,D(RL),2
4,0,4,0,2,8,111,A(RR),2
5,0,4,0,2,8,10,D(RL),2
6,0,4,1,1,8,10,D(RL),2
7,0,4,1,0,2,111,A(RR),2
8,1,4,1,0,3,100,A(LL),2
9,1,4,2,0,5,100,A(LL),2
10,1,4,0,2,3,1,D(LR),2
11,1,4,0,3,4,101,A(LR),2
12,1,4,0,3,2,10,D(RL),2
13,1,4,0,0,4,111,A(RR),2
1,1,1,1,2,1,111,A(RR),1
2,3,1,1,2,1,110,A(RL),1
3,3,1,4,2,1,100,A(LL),1
4,3,0,4,2,6,101,A(LR),1
5,2,1,4,2,3,1,D(LR),1
6,2,0,4,2,6,101,A(LR),1
7,0,2,4,2,3,1,D(LR),1
8,0,2,0,6,4,10,D(RL),1
9,1,1,0,6,8,10,D(RL),1
10,1,1,3,3,2,10,D(RL),1
11,1,1,3,4,1,101,A(LR),1
12,0,1,3,4,6,110,A(RL),1
13,0,1,3,4,2,10,D(RL),1
14,0,1,3,4,4,10,D(RL),1
15,0,1,3,4,2,10,D(RL),1
16,0,4,3,4,4,101,A(LR),1
17,0,4,0,4,2,110,A(RL),1
18,0,0,0,4,8,111,A(RR),1
1,0,2,1,1,1,1,D(LR),1
2,0,3,1,1,4,101,A(LR),1
3,0,3,4,1,2,110,A(RL),1
4,0,3,1,4,4,1,D(LR),1
5,2,1,1,4,2,10,D(RL),1
6,3,1,1,4,6,100,A(LL),1
7,0,4,1,4,1,10,D(RL),1
8,0,0,1,4,4,101,A(LR),1
1,1,1,2,1,1,110,A(RL),2
2,1,1,1,2,1,1,D(LR),2
3,1,1,2,2,1,100,A(LL),2
4,1,1,1,3,1,1,D(LR),2
5,1,1,2,3,1,100,A(LL),2
6,4,1,2,3,6,110,A(RL),2
7,4,1,0,3,6,100,A(LL),2
8,4,4,0,3,2,111,A(RR),2
9,4,4,0,0,4,111,A(RR),2
1,1,1,2,1,1,100,A(LL),2
2,3,1,2,1,1,100,A(LL),2
3,0,4,2,1,1,1,D(LR),2
4,0,4,0,3,4,10,D(RL),2
5,0,4,0,0,8,111,A(RR),2
1,1,1,1,2,1,111,A(RR),1
2,2,1,1,2,1,100,A(LL),1
3,2,1,2,2,1,110,A(RL),1
4,2,1,1,3,1,1,D(LR),1
5,2,1,1,4,1,111,A(RR),1
6,0,1,1,4,6,110,A(RL),1
7,0,1,1,4,2,10,D(RL),1
8,0,1,0,5,4,1,D(LR),1
9,0,1,0,5,8,10,D(RL),1
10,0,0,0,5,8,111,A(RR),1
1,1,1,1,2,1,101,A(LR),2
2,3,1,1,2,1,110,A(RL),2
3,2,2,1,2,1,1,D(LR),2
4,2,3,1,2,1,101,A(LR),2
5,2,3,1,4,6,101,A(LR),2
6,3,3,1,4,6,100,A(LL),2
7,3,3,4,4,6,110,A(RL),2
8,3,0,4,4,6,111,A(RR),2
9,1,2,4,4,3,1,D(LR),2
10,1,0,4,4,6,111,A(RR),2
11,1,0,4,0,3,101,A(LR),2
12,1,0,3,1,7,1,D(LR),2
13,0,1,3,1,3,1,D(LR),2
14,0,1,0,4,4,10,D(RL),2
15,0,1,0,0,8,111,A(RR),2
1,1,1,2,1,1,110,A(RL),1
2,1,3,2,1,1,101,A(LR),1
3,0,4,2,1,1,10,D(RL),1
4,0,4,0,3,4,10,D(RL),1
5,0,4,0,3,8,10,D(RL),1
6,0,0,0,3,8,111,A(RR),1
1,1,1,1,2,1,111,A(RR),2
2,1,2,1,2,1,101,A(LR),2
3,1,2,1,2,1,10,D(RL),2
4,1,4,1,2,1,111,A(RR),2
5,1,4,1,3,6,101,A(LR),2
6,1,4,0,4,1,10,D(RL),2
7,1,4,0,0,4,101,A(LR),2
1,0,2,1,1,1,1,D(LR),2
2,0,3,1,1,4,111,A(RR),2
3,0,3,1,4,2,111,A(RR),2
4,0,3,1,4,4,10,D(RL),2
5,0,3,1,0,2,111,A(RR),2
6,0,3,0,1,3,1,D(LR),2
7,0,3,0,4,8,111,A(RR),2
8,0,3,2,2,8,10,D(RL),2
9,1,2,2,2,2,10,D(RL),2
10,3,2,2,2,1,110,A(RL),2
11,3,2,2,0,6,101,A(LR),2
12,3,4,2,0,3,101,A(LR),2
13,2,5,2,0,5,1,D(LR),2
14,4,5,2,0,3,100,A(LL),2
15,4,5,2,0,5,10,D(RL),2
16,4,0,2,0,3,101,A(LR),2
17,4,0,0,0,7,100,A(LL),2
1,0,2,1,1,1,1,D(LR),1
2,0,3,1,1,4,101,A(LR),1
3,0,3,1,4,2,111,A(RR),1
4,0,0,1,4,4,111,A(RR),1
1,1,1,1,2,1,101,A(LR),2
2,1,3,1,2,1,111,A(RR),2
3,1,3,1,0,1,111,A(RR),2
4,2,3,1,0,3,100,A(LL),2
5,2,3,3,0,5,100,A(LL),2
6,2,0,3,0,3,101,A(LR),2
7,2,0,0,0,7,100,A(LL),2
1,0,2,1,1,1,1,D(LR),2
2,0,2,0,2,4,10,D(RL),2
3,1,1,0,2,8,10,D(RL),2
4,1,1,1,1,2,10,D(RL),2
5,1,1,1,2,1,111,A(RR),2
6,1,3,1,2,1,111,A(RR),2
7,1,3,1,2,1,10,D(RL),2
8,2,3,1,2,1,100,A(LL),2
9,2,3,1,4,6,101,A(LR),2
10,2,0,1,4,6,111,A(RR),2
11,2,0,3,4,3,100,A(LL),2
12,2,0,3,4,5,10,D(RL),2
13,2,0,0,4,3,100,A(LL),2
14,2,4,0,4,2,111,A(RR),2
15,1,5,0,4,4,1,D(LR),2
16,1,5,0,4,2,10,D(RL),2
17,1,5,0,0,4,111,A(RR),2
1,1,1,2,1,1,100,A(LL),1
2,3,1,2,1,1,100,A(LL),1
3,3,1,2,4,1,101,A(LR),1
4,0,1,2,4,6,110,A(RL),1
5,0,1,3,4,2,110,A(RL),1
6,0,0,3,4,4,111,A(RR),1
1,1,1,1,2,1,101,A(LR),1
2,1,1,0,3,1,1,D(LR),1
3,0,2,0,3,4,1,D(LR),1
4,0,0,0,3,8,111,A(RR),1
1,1,1,2,1,1,100,A(LL),2
2,2,1,2,1,1,110,A(RL),2
3,2,1,2,2,1,111,A(RR),2
4,4,1,2,2,1,100,A(LL),2
5,4,1,2,3,6,111,A(RR),2
6,4,3,2,3,6,101,A(LR),2
7,4,3,0,3,6,100,A(LL),2
8,4,3,0,3,2,10,D(RL),2
9,2,5,0,3,4,1,D(LR),2
10,0,5,0,3,2,110,A(RL),2
11,3,2,0,3,8,10,D(RL),2
12,3,2,1,2,2,10,D(RL),2
13,3,2,1,0,6,101,A(LR),2
14,4,2,1,0,3,100,A(LL),2
15,4,2,0,0,5,100,A(LL),2
1,1,1,2,1,1,100,A(LL),1
2,1,2,2,1,1,111,A(RR),1
3,1,2,4,1,1,110,A(RL),1
4,1,0,4,1,6,101,A(LR),1
5,1,0,0,1,3,100,A(LL),1
6,1,0,0,1,2,10,D(RL),1
7,1,0,1,1,3,100,A(LL),1
8,1,0,0,2,5,10,D(RL),1
9,1,0,1,2,3,100,A(LL),1
10,2,0,1,2,5,100,A(LL),1
11,1,1,1,2,3,1,D(LR),1
12,1,1,1,2,1,10,D(RL),1
13,0,2,1,2,1,10,D(RL),1
14,0,3,1,2,4,101,A(LR),1
15,0,3,4,2,2,110,A(RL),1
16,0,0,4,2,4,111,A(RR),1
1,0,2,1,1,1,1,D(LR),1
2,0,3,1,1,4,111,A(RR),1
3,0,3,1,4,2,111,A(RR),1
4,0,4,1,4,4,101,A(LR),1
5,2,2,1,4,2,10,D(RL),1
6,3,2,1,4,6,100,A(LL),1
7,3,2,3,4,6,110,A(RL),1
8,0,2,3,4,6,110,A(RL),1
9,0,2,3,4,2,10,D(RL),1
10,0,2,2,5,4,1,D(LR),1
11,0,2,4,5,2,110,A(RL),1
12,0,0,4,5,4,101,A(LR),1
1,0,2,1,1,1,1,D(LR),2
2,0,3,1,1,4,101,A(LR),2
3,0,3,4,1,2,110,A(RL),2
4,0,3,0,5,4,10,D(RL),2
5,0,3,0,0,8,111,A(RR),2
1,1,1,1,2,1,111,A(RR),1
2,1,3,1,2,1,111,A(RR),1
3,0,4,1,2,1,1,D(LR),1
4,0,0,1,2,4,101,A(LR),1
1,0,2,1,1,1,1,D(LR),1
2,0,2,0,2,4,1,D(LR),1
3,0,2,0,2,8,10,D(RL),1
4,0,2,1,1,8,10,D(RL),1
5,0,2,3,1,2,110,A(RL),1
6,0,0,3,1,4,101,A(LR),1
1,1,1,2,1,1,110,A(RL),1
2,1,1,0,3,1,10,D(RL),1
3,1,1,0,4,4,111,A(RR),1
4,1,0,0,4,2,111,A(RR),1
5,0,1,0,4,3,1,D(LR),1
6,0,1,0,4,8,10,D(RL),1
7,0,1,0,4,8,10,D(RL),1
8,0,0,0,4,8,111,A(RR),1
1,1,1,2,1,1,110,A(RL),1
2,1,2,2,1,1,111,A(RR),1
3,1,2,2,3,1,111,A(RR),1
4,4,2,2,3,6,110,A(RL),1
5,4,2,4,3,6,110,A(RL),1
6,0,2,4,3,6,100,A(LL),1
7,0,2,4,3,2,10,D(RL),1
8,0,0,4,3,4,111,A(RR),1
1,1,1,1,2,1,101,A(LR),1
2,2,1,1,2,1,100,A(LL),1
3,2,1,2,2,1,110,A(RL),1
4,2,1,0,4,1,1,D(LR),1
5,0,3,0,4,4,10,D(RL),1
6,0,0,0,4,8,111,A(RR),1
1,1,1,2,1,1,110,A(RL),1
2,1,2,2,1,1,111,A(RR),1
3,0,3,2,1,1,1,D(LR),1
4,0,4,2,1,4,111,A(RR),1
5,0,4,2,1,2,10,D(RL),1
6,0,4,1,2,4,1,D(LR),1
7,0,4,1,2,2,10,D(RL),1
8,0,4,1,2,4,10,D(RL),1
9,0,4,0,2,2,110,A(RL),1
10,0,0,0,2,8,111,A(RR),1
1,1,1,1,2,1,111,A(RR),1
2,2,1,1,2,1,100,A(LL),1
3,0,3,1,2,1,1,D(LR),1
4,0,0,1,2,4,111,A(RR),1
1,0,2,1,1,1,1,D(LR),2
2,0,2,0,2,4,1,D(LR),2
3,0,2,0,2,8,10,D(RL),2
4,0,4,0,2,8,111,A(RR),2
5,0,4,0,0,8,111,A(RR),2
1,1,1,1,2,1,101,A(LR),1
2,1,1,0,3,1,1,D(LR),1
3,1,1,0,4,4,101,A(LR),1
4,1,1,3,1,2,10,D(RL),1
5,1,1,3,2,1,111,A(RR),1
6,1,4,3,2,6,101,A(LR),1
7,1,4,3,0,6,111,A(RR),1
8,1,4,0,3,3,1,D(LR),1
9,0,5,0,3,4,10,D(RL),1
10,0,5,1,2,8,10,D(RL),1
11,1,4,1,2,2,10,D(RL),1
12,1,4,0,3,1,1,D(LR),1
13,0,5,0,3,4,1,D(LR),1
14,0,5,1,2,8,10,D(RL),1
15,0,5,0,2,2,110,A(RL),1
16,0,0,0,2,8,111,A(RR),1
1,0,2,1,1,1,10,D(RL),1
2,0,2,0,2,4,1,D(LR),1
3,1,1,0,2,8,10,D(RL),1
4,1,1,1,1,2,10,D(RL),1
5,1,1,2,1,1,110,A(RL),1
6,1,1,0,3,1,1,D(LR),1
7,0,2,0,3,4,1,D(LR),1
8,0,2,1,2,8,10,D(RL),1
9,0,2,1,4,2,111,A(RR),1
10,0,0,1,4,4,111,A(RR),1
1,1,1,2,1,1,110,A(RL),1
2,1,1,0,3,1,10,D(RL),1
3,0,2,0,3,4,1,D(LR),1
4,0,2,1,2,8,10,D(RL),1
5,1,1,1,2,2,10,D(RL),1
6,1,3,1,2,1,111,A(RR),1
7,1,3,1,3,1,101,A(LR),1
8,2,3,1,3,1,100,A(LL),1
9,2,3,3,3,6,100,A(LL),1
10,0,3,3,3,6,100,A(LL),1
11,1,2,3,3,2,10,D(RL),1
12,1,0,3,3,6,111,A(RR),1
13,0,1,3,3,3,1,D(LR),1
14,0,1,2,4,4,10,D(RL),1
15,0,1,3,4,2,110,A(RL),1
16,0,0,3,4,4,111,A(RR),1
1,0,2,1,1,1,1,D(LR),2
2,0,2,0,2,4,10,D(RL),2
3,0,2,0,2,8,10,D(RL),2
4,0,4,0,2,8,111,A(RR),2
5,3,1,0,2,8,10,D(RL),2
6,3,3,0,2,2,111,A(RR),2
7,3,3,0,0,4,101,A(LR),2
1,1,1,1,2,1,101,A(LR),1
2,2,1,1,2,1,100,A(LL),1
3,2,1,1,3,1,111,A(RR),1
4,0,1,1,3,1,110,A(RL),1
5,0,1,1,3,2,10,D(RL),1
6,0,1,1,3,4,10,D(RL),1
7,0,1,1,3,2,10,D(RL),1
8,0,4,1,3,4,111,A(RR),1
9,0,4,1,0,2,111,A(RR),1
10,0,0,1,0,3,101,A(LR),1
1,1,1,2,1,1,100,A(LL),1
2,1,1,1,2,1,1,D(LR),1
3,1,1,1,3,1,111,A(RR),1
4,2,1,1,3,1,100,A(LL),1
5,0,3,1,3,1,10,D(RL),1
6,0,3,2,2,4,10,D(RL),1
7,0,3,2,2,2,10,D(RL),1
8,0,0,2,2,4,111,A(RR),1
1,0,2,1,1,1,1,D(LR),1
2,0,3,1,1,4,111,A(RR),1
3,0,3,1,4,2,111,A(RR),1
4,0,0,1,4,4,111,A(RR),1
1,1,1,1,2,1,101,A(LR),2
2,1,2,1,2,1,101,A(LR),2
3,1,2,2,2,1,100,A(LL),2
4,1,2,1,3,1,1,D(LR),2
